x,y,z,class
-0.072,-1.128,-0.088,Cycling
-0.176,-0.988,-0.08,Cycling
-0.076,-1.04,-0.156,Cycling
-0.036,-0.972,-0.24,Cycling
-0.092,-1.108,-0.156,Cycling
-0.104,-1.016,-0.048,Cycling
-0.012,-1.012,-0.088,Cycling
0,-0.872,-0.248,Cycling
-0.116,-1.024,-0.276,Cycling
-0.056,-1.064,-0.108,Cycling
-0.088,-0.996,0.024,Cycling
0.052,-0.884,0.024,Cycling
-0.116,-0.916,-0.056,Cycling
-0.104,-0.956,-0.072,Cycling
-0.132,-1.008,-0.04,Cycling
-0.132,-0.856,-0.08,Cycling
-0.132,-0.956,-0.28,Cycling
-0.024,-1.056,-0.264,Cycling
-0.016,-1.224,0.004,Cycling
-0.108,-1.264,-0.024,Cycling
-0.16,-1.216,-0.132,Cycling
0.156,-1.224,-0.236,Cycling
0.044,-0.984,-0.144,Cycling
-0.236,-1.08,-0.02,Cycling
-0.064,-1.224,0.012,Cycling
0.072,-1.248,-0.236,Cycling
-0.004,-0.976,-0.252,Cycling
-0.104,-1.16,-0.036,Cycling
-0.144,-1.092,-0.012,Cycling
-0.136,-0.876,-0.1,Cycling
-0.092,-1.076,-0.196,Cycling
-0.072,-1.284,-0.1,Cycling
-0.092,-0.976,-0.18,Cycling
-0.044,-0.976,-0.168,Cycling
-0.012,-1.124,-0.1,Cycling
0.088,-1.172,-0.088,Cycling
0.08,-1.268,0.128,Cycling
-0.176,-0.876,-0.136,Cycling
-0.108,-1.188,-0.152,Cycling
0.028,-0.748,-0.104,Cycling
-0.212,-1.204,0.02,Cycling
-0.156,-1.064,-0.096,Cycling
0.144,-1.38,-0.172,Cycling
-0.084,-0.912,-0.016,Cycling
-0.076,-0.948,-0.148,Cycling
-0.252,-1.016,-0.16,Cycling
-0.088,-1.004,0.072,Cycling
-0.084,-1.152,0.128,Cycling
0.032,-1.724,-0.208,Cycling
0.028,-0.908,-0.132,Cycling
-0.228,-1.008,-0.012,Cycling
-0.148,-0.992,-0.096,Cycling
-0.008,-1.02,-0.164,Cycling
-0.432,-1.664,-0.024,Cycling
-0.152,-0.924,0,Cycling
0.008,-1.116,-0.028,Cycling
0.076,-0.932,-0.184,Cycling
-0.056,-1.5,0.036,Cycling
-0.164,-0.98,-0.028,Cycling
0.028,-0.904,-0.148,Cycling
0.064,-1.224,-0.092,Cycling
-0.092,-1.048,-0.224,Cycling
-0.2,-1.164,-0.084,Cycling
0.02,-1.076,0.04,Cycling
0.06,-1.024,-0.204,Cycling
0.024,-1.008,-0.112,Cycling
-0.04,-1.068,-0.016,Cycling
0,-0.812,-0.08,Cycling
-0.132,-1.04,-0.136,Cycling
-0.056,-0.888,0.004,Cycling
-0.044,-0.948,-0.056,Cycling
-0.16,-1.392,0.132,Cycling
-0.052,-0.972,-0.096,Cycling
-0.192,-0.94,-0.04,Cycling
-0.044,-1.144,0.056,Cycling
-0.12,-1.104,0.052,Cycling
-0.008,-1.16,-0.008,Cycling
0.004,-1.048,-0.092,Cycling
-0.124,-1.332,0.036,Cycling
-0.116,-1.08,0.02,Cycling
-0.228,-1.096,-0.08,Cycling
0.02,-1.188,-0.084,Cycling
-0.316,-0.936,0.104,Cycling
-0.044,-1.112,-0.008,Cycling
-0.056,-1.016,0.008,Cycling
-0.1,-1.196,0.084,Cycling
-0.16,-0.848,0.04,Cycling
-0.088,-1.112,0.1,Cycling
-0.132,-1.536,0.132,Cycling
-0.196,-0.804,-0.28,Cycling
0.048,-1.136,-0.14,Cycling
-0.2,-0.948,-0.036,Cycling
0.008,-0.976,-0.044,Cycling
-0.088,-1.168,-0.136,Cycling
0.008,-1.092,-0.048,Cycling
0.012,-1.136,-0.048,Cycling
-0.036,-1.26,0.104,Cycling
-0.004,-0.996,-0.096,Cycling
-0.2,-0.872,-0.128,Cycling
-0.048,-0.82,-0.048,Cycling
-0.116,-0.64,-0.04,Cycling
-0.124,-1.496,-0.052,Cycling
0.228,-0.936,-0.224,Cycling
