Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0358,0.12014,14.336,0.89806,1.0402,1.8256,7.1664,0.26538,1,0.17325,0.24652,0.44752,0.6,0.0010619,0.0014032
1.0176,0.18563,7.5701,1.0055,1.0249,1.5413,6.3721,0.53744,0.125,0.66494,0.55448,0.46893,0.37417,0.0020359,0.0026314
1.1155,0.20377,8.7133,1.4429,1.1256,1.7868,8.0989,0.55054,0.625,0.055402,0.20304,0.32311,0.67082,0.0046032,0.0039616
1.0751,0.21408,6.2891,1.5044,1.0822,1.388,7.2314,0.69458,0.875,0.31275,0.60701,0.64941,0.61644,0.0052294,0.005367
1.1359,0.30368,4.5262,1.6486,1.1465,1.6817,7.2666,0.97803,1,0.18951,0.47047,0.49751,0.65574,0.009802,0.012174
1.1111,0.31176,4.3592,0.97688,1.1211,1.7168,6.7639,0.95705,1,0.2903,0.53442,0.48722,0.7,0.0027387,0.011102
1.0397,0.16975,8.7714,1.1107,1.0458,1.4574,6.9974,0.38466,1,0.055273,0.2268,0.41828,0.65574,0.0033675,0.0020963
1.1153,0.18194,7.3711,2.0921,1.1191,1.8258,7.6193,0.62279,0.875,0.46587,0.22422,0.36632,0.96437,0.0030306,0.0043418
1.0922,0.26169,5.3736,1.3425,1.1045,1.5095,7.2842,0.83018,0.875,0.68249,0.44422,0.5535,0.83066,0.00819,0.0086397
1.0434,0.18018,7.4901,1.4609,1.0493,1.4938,6.8774,0.57809,0.25,0.56672,0.44534,0.50272,0.61644,0.0048815,0.0036901
1.0667,0.26882,4.7585,2.049,1.0749,1.2604,6.6625,0.79251,0.75,0.38801,0.44531,0.56978,0.83066,0.012829,0.010361
1.1007,0.23112,5.5175,1.3903,1.1056,1.387,7.2254,0.82721,0.25,0.16209,0.34719,0.48415,0.9,0.0062696,0.0058878
1.0029,0.20541,6.0415,0.72447,1.01,1.2453,6.0932,0.66765,0.25,0.29816,0.2631,0.38841,0.54772,0.0039733,0.0056481
0.95614,0.18663,6.3504,1.5338,0.9621,1.2133,5.5144,0.59456,0.875,0.34419,0.38846,0.43164,0.70711,0.0028769,0.0044263
1.0935,0.18093,9.6932,1.0179,1.1026,1.8905,7.896,0.47702,0.75,0.37559,0.37841,0.53497,0.8775,0.0062516,0.0033652
1.0474,0.18971,10.179,2.3343,1.0574,1.7213,7.0211,0.40079,0.375,0.40211,0.44288,0.47605,0.7,0.003873,0.0037903
1.0598,0.20139,7.2231,1.2943,1.068,1.4818,7.0196,0.57802,0.375,0.2347,0.14298,0.31133,0.6,0.0025423,0.0049755
0.97341,0.30038,3.947,1.0963,0.98379,0.92016,5.0715,0.94276,0.25,0.13662,0.25491,0.37195,0.70711,0.017974,0.012445
