Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.9668,0.33983,4.8668,1.1734,0.96683,1.1377,6.8879,1.4284,0.125,0.098625,1.3964,1.341,0.14142,0.014956,0.016292
1.0745,0.019964,114.47,1.8226,1.0746,2.2721,8.035,0.039197,0.25,0.34183,0.20924,0.38309,0.4,0.00053476,4.64E-05
1.076,0.02117,136.07,1.8948,1.0762,2.2752,8.0523,0.030239,0.625,0.19768,0.31037,0.3786,0.4,0.00010722,4.15E-05
1.0728,0.035792,67.577,2.2098,1.0732,2.2131,7.9449,0.061106,1,0.21463,0.31123,0.57013,0.41231,0.0011837,0.00016577
1.0808,0.032758,114.22,2.7228,1.0812,2.2857,8.1355,0.035279,0.5,0.55943,0.38781,0.45136,0.5099,0.00030121,8.72E-05
1.0733,0.02348,80.825,1.4492,1.0735,2.2524,7.9959,0.058084,0.625,0.20731,0.61338,0.65151,0.44721,0.00013771,4.03E-05
1.0771,0.017512,141.32,1.7957,1.0772,2.2798,8.0628,0.026893,0.875,0.38146,0.17943,0.33591,0.80623,0.00031663,2.76E-05
1.0742,0.01449,138.72,1.357,1.0742,2.2695,8.031,0.030647,0.125,0.43786,0.44036,0.55196,0.3,0.00038721,1.76E-05
1.072,0.011993,217.91,1.4218,1.072,2.2745,6.8545,0.020254,0.75,0.41357,0.31145,0.39527,0.6,7.76E-05,1.60E-05
1.075,0.02414,133.63,1.3107,1.0752,2.2801,8.0484,0.028957,0.25,0.5418,0.4225,0.45315,0.44721,0.00057855,7.25E-05
1.0743,0.017719,162.31,1.4015,1.0744,2.285,8.0294,0.026136,0.75,0.38772,0.36956,0.41929,0.53852,0.00038594,2.32E-05
1.071,0.010971,213.47,1.3966,1.0711,2.2688,7.9949,0.018815,0.5,0.11097,0.20105,0.48009,0.5,0.00024012,1.52E-05
1.072,0.01544,135.64,1.381,1.0721,2.262,7.9887,0.033008,0.625,0.26817,0.41728,0.46251,0.5,0.00054669,3.00E-05
1.0711,0.022943,97.836,1.3381,1.0713,2.2452,7.9673,0.045296,0.25,0.25216,0.22958,0.50032,0.53852,0.00059428,4.90E-05
1.0705,0.016259,174.03,1.4014,1.0706,2.2564,7.988,0.023508,0.625,0.41293,0.26775,0.39052,0.53852,0.00042391,2.97E-05
1.0755,0.020578,113.88,1.3222,1.0756,2.2821,8.0392,0.035811,0.75,0.40942,0.7154,0.70996,0.7,0.00049961,4.27E-05
1.0755,0.011415,259.08,1.7453,1.0756,2.2969,8.0706,0.015983,0.5,0.088171,0.24944,0.42585,0.53852,0.00041603,1.72E-05
1.0746,0.019709,129.53,1.5451,1.0747,2.2568,8.0351,0.03093,0.25,0.73422,0.31384,0.47289,0.36056,0.00053163,2.35E-05
1.0755,0.037764,109.53,2.4818,1.0761,2.2866,8.0454,0.040782,0.625,0.40912,0.37773,0.52453,0.78102,0.00025145,0.00015618
1.0707,0.017894,285.3,2.974,1.0708,2.2618,7.989,0.015422,0.375,0.10532,0.64095,0.72573,0.42426,0.00065135,3.01E-05
1.0788,0.043895,66.474,1.6031,1.0795,2.275,8.0477,0.071146,0.125,0.16644,0.36326,0.3983,0.56569,0.0010599,0.00019521
1.0898,0.094149,18.36,2.5573,1.0924,2.2747,8.006,0.25367,0.125,0.35783,1.1579,1.0959,0.22361,0.0034527,0.00077975
1.0774,0.029731,92.188,1.4136,1.0777,2.2533,8.0438,0.045575,0.125,0.30574,0.20406,0.4346,0.22361,0.00046604,7.28E-05
1.071,0.015061,192.17,1.5578,1.0711,2.2694,7.9942,0.024645,0.625,0.16259,0.32778,0.40457,0.5,0.00019474,1.67E-05
1.0734,0.012052,186.87,1.5241,1.0734,2.2631,8.0205,0.019745,0.375,0.48928,0.34187,0.43746,0.3,0.00025083,1.47E-05
1.0731,0.014148,153.45,1.3767,1.0731,2.2646,8.0165,0.030034,0.5,0.28754,0.45339,0.53297,0.4,0.00041016,1.41E-05
1.0732,0.017194,172.85,1.3806,1.0733,2.2663,8.0192,0.022308,0.375,0.64218,0.14893,0.34571,0.44721,0.00027147,1.29E-05
1.0792,0.02078,101.78,1.4069,1.0793,2.2759,8.0595,0.047515,0.25,0.54702,0.35708,0.49729,0.28284,0.00069011,3.50E-05
1.0723,0.01399,247.08,1.469,1.0724,2.2707,8.0287,0.01776,0.5,0.31865,0.17711,0.37983,0.5,0.00010803,1.77E-05
1.0672,0.029154,163.41,2.0654,1.0675,2.2411,7.9366,0.027436,0.25,0.14759,0.75623,0.80759,0.28284,0.00038549,0.00011994
1.072,0.012379,192.26,1.495,1.0721,2.2673,8.0091,0.020929,0.75,0.19582,0.13977,0.33878,0.4,0.00016838,1.30E-05
1.0736,0.01167,210.64,1.504,1.0736,2.274,8.035,0.020709,0.625,0.22051,0.65891,0.66132,0.72111,0.00028098,1.44E-05
1.0763,0.010198,166.91,2.6829,1.0763,2.286,8.072,0.023594,0.75,0.41114,0.27539,0.38364,0.78102,5.82E-05,9.87E-06
1.0727,0.0083267,192.89,2.1387,1.0728,2.2756,8.0164,0.021522,0.875,0.36403,0.22817,0.34244,1,0.00014049,6.57E-06
1.07,0.011585,219.35,1.8122,1.0701,2.2635,7.9817,0.020599,0.75,0.10762,0.1356,0.41281,0.44721,0.00020799,1.03E-05
1.0779,0.015583,167.76,2.6132,1.078,2.2923,8.0807,0.02525,0.5,0.33453,0.18067,0.3583,0.76158,0.00020877,1.79E-05
1.0727,0.011369,167.06,2.4002,1.0728,2.2572,8.0146,0.023413,0.875,0.51921,0.42324,0.45879,0.60828,0.00020802,1.16E-05
1.0745,0.011662,185.26,1.5053,1.0746,2.2803,8.054,0.022547,0.875,0.37319,0.46094,0.462,0.5099,0.00038358,1.23E-05
1.0756,0.014199,140.64,2.0559,1.0757,2.2778,8.0371,0.029957,0.375,0.59855,0.41283,0.46457,0.44721,0.00022961,1.59E-05
1.0759,0.020181,180.12,1.4058,1.0761,2.288,8.0742,0.024095,0.125,0.29935,0.40222,0.41853,0.42426,0.00036369,2.29E-05
1.0749,0.01365,184.98,2.4599,1.0749,2.2911,8.0469,0.019318,0.25,0.57935,0.47795,0.49087,0.22361,0.00055505,2.04E-05
1.073,0.025072,197.27,1.7865,1.0733,2.2723,8.0181,0.020476,0.75,0.36676,0.69353,0.74543,0.78102,0.00096895,6.68E-05
1.0777,0.016871,115.17,2.5856,1.0777,2.2928,8.0715,0.035003,1,0.10853,0.29625,0.46199,0.5,0.00016217,2.23E-05
1.0731,0.011084,176.42,1.9685,1.0732,2.2742,8.0418,0.025462,0.125,0.27154,0.49931,0.54959,0.42426,0.00012324,5.66E-06
1.0737,0.010146,222.54,2.2438,1.0737,2.2904,8.0372,0.017242,0.5,0.18721,0.33005,0.39626,0.64031,0.00020582,1.13E-05
1.0745,0.012968,276.49,2.1327,1.0746,2.2866,8.0599,0.015365,0.375,0.62064,0.53112,0.5931,0.53852,0.00030865,9.16E-06
1.0733,0.018321,127.77,2.291,1.0734,2.2625,8.0164,0.032957,0.375,0.59628,0.21782,0.32453,0.5099,0.00032433,1.07E-05
1.0729,0.01544,307.18,1.3749,1.073,2.2756,8.0312,0.014024,0.5,0.26231,0.28738,0.40415,0.2,0.00019968,2.80E-05
1.0762,0.019391,192.39,1.436,1.0763,2.2799,8.0807,0.021581,0.875,0.62624,0.46578,0.54018,0.67082,0.00045448,4.36E-05
1.075,0.01835,145.86,1.3957,1.0752,2.2908,8.0526,0.030356,0.375,0.62018,0.11583,0.36365,0.44721,0.00019439,2.66E-05
1.0726,0.026002,115.36,1.3776,1.0728,2.2483,8.0005,0.0393,0.375,0.094132,0.46536,0.55007,0.44721,0.00054978,6.64E-05
1.08,0.024389,105.5,2.8038,1.0802,2.2781,8.0904,0.044156,0.875,0.27387,0.35467,0.59543,0.72111,0.00071941,5.91E-05
1.076,0.014569,369.05,1.5977,1.0761,2.2938,8.0733,0.011045,0.375,0.29738,0.49182,0.49782,0.41231,0.00033529,2.57E-05
1.0815,0.03898,59.808,2.2261,1.082,2.2606,8.0693,0.079065,0.125,0.58634,0.38129,0.44298,0.36056,0.00076443,0.00013554
1.0747,0.025779,133.11,1.841,1.0749,2.2696,8.0201,0.029371,0.375,0.50674,0.34445,0.42374,0.5,0.000518,7.85E-05
1.0756,0.033572,77.416,1.5546,1.076,2.2716,8.02,0.056121,0.375,0.22701,0.21214,0.43099,0.5831,0.0012352,9.15E-05
1.0767,0.028643,226.33,1.4177,1.077,2.2971,8.0839,0.017881,0.875,0.582,0.4793,0.61376,0.5831,0.00089751,6.00E-05
1.0763,0.02671,246.89,3.1675,1.0766,2.2784,8.0576,0.015175,0.75,0.18149,0.6158,0.6207,0.64031,0.00033846,6.17E-05
1.0704,0.025858,134.24,1.3873,1.0707,2.252,7.9665,0.03316,0.375,0.087384,0.57405,0.60623,0.42426,0.0010098,7.23E-05
1.0756,0.031656,100.64,1.3333,1.076,2.2745,8.0042,0.04182,0.875,0.43867,0.22592,0.47957,0.60828,0.0010066,9.06E-05
1.0712,0.01676,136.77,1.456,1.0713,2.2535,7.9858,0.03158,0.375,0.328,0.23489,0.43338,0.3,0.00029762,3.29E-05
1.0737,0.011685,195.64,1.5031,1.0738,2.2754,8.0413,0.022695,0.5,0.090485,0.48884,0.56181,0.4,0.000216,1.42E-05
1.0766,0.010766,211.98,1.6138,1.0766,2.2945,6.9243,0.020305,0.375,0.16345,0.48552,0.51079,0.4,0.00020626,1.28E-05
1.0771,0.012712,172.55,1.529,1.0771,2.2837,8.0722,0.024087,0.375,0.32474,0.15507,0.42351,0.3,0.00036306,1.60E-05
1.0737,0.013293,181.48,1.5304,1.0738,2.2807,8.0305,0.025224,0.25,0.22784,0.31345,0.42762,0.6,0.00036808,1.55E-05
