Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.94363,1.2744,1.0873,2.5899,1.0883,0.005904,2.3601,3.1299,0.625,0.40343,0.53289,0.5062,0.98489,0.0037411,0.20282
1.0904,1.5447,1.1018,2.0473,1.5794,0.45854,10.766,3.6633,0.5,0.16941,0.089508,0.31625,0.86603,0.053104,0.26727
1.0101,1.5618,1.0237,1.4432,1.4968,0.41222,8.3016,3.4408,0.5,0.22007,0.19409,0.27713,0.86603,0.058119,0.30386
0.74011,1.4721,0.76636,1.8052,1.3079,0.55643,5.0957,3.3379,0.5,0.37101,0.30872,0.31357,0.8124,0.031849,0.2478
1.6275,1.6144,1.7592,2.0261,1.8559,0.44197,17.929,3.8779,0.5,0.12471,0.041035,0.40085,0.64031,0.012542,0.24761
1.0458,1.3651,1.1236,1.5581,1.3419,0.18395,6.1703,3.274,0.375,0.20751,0.34409,0.46954,0.78102,0.021044,0.23061
1.3559,1.4379,1.6445,1.6044,1.6161,0.22296,11.672,2.984,0.5,0.12144,0.19601,0.43442,0.73485,0.03771,0.20647
0.82872,1.5658,0.81516,1.6687,1.4011,0.20189,7.6316,4.1305,0.5,0.18608,0.18471,0.31624,0.6,0.017627,0.31616
1.179,1.5787,1.1477,2.4325,1.541,0.29386,9.002,3.6748,0.5,0.18546,0.28818,0.33672,0.8124,0.058985,0.2973
1.0006,1.6588,0.97205,1.6043,1.5771,0.28752,9.2386,3.7572,0.625,0.11408,0.13406,0.37003,0.8124,0.055418,0.32047
1.2489,1.6339,1.311,1.1397,1.7376,0.31464,14.893,3.4707,0.625,0.46392,0.26678,0.38283,0.72801,0.039167,0.28446
1.3639,1.6257,1.3494,0.86932,1.6932,0.32195,13.703,3.8112,0.625,0.30682,0.39264,0.4641,0.92736,0.011545,0.2853
1.1127,1.5118,1.0831,1.7174,1.4265,0.09568,7.677,4,0.625,0.22698,0.077185,0.25696,0.8775,0.016788,0.27283
1.2628,1.6753,1.2096,2.9209,1.7306,0.31082,13.275,4.235,0.5,0.15907,0.48519,0.50574,0.70711,0.075865,0.31005
1.1023,1.3303,1.3256,0.85103,1.4565,0.46186,8.869,3.5837,0.375,0.14058,0.15756,0.31307,0.75498,0.020649,0.20226
0.78129,1.617,0.79278,1.4565,1.4179,0.24282,6.7386,4.0597,0.625,0.21567,0.41798,0.52439,0.53852,0.027494,0.2785
1.433,1.6811,1.3704,1.0164,1.8611,0.71931,16.153,3.7571,0.5,0.20015,0.47679,0.49571,0.76811,0.070678,0.30173
1.226,1.4288,1.3718,1.131,1.543,0.56043,9.2015,3.7055,0.625,0.16726,0.13141,0.27558,0.76811,0.023097,0.2327
0.65023,1.4865,0.6615,1.6525,1.2604,0.27565,5.4127,3.8611,0.5,0.21312,0.19657,0.31625,0.70711,0.021771,0.27023
1.3815,1.6254,1.3603,0.55139,1.7227,0.4679,13.329,4.1596,0.5,0.056015,0.58261,0.58988,0.8124,0.031379,0.27987
0.95182,1.6199,0.94898,1.1355,1.5472,0.27941,11.72,3.8841,0.625,0.19109,0.54119,0.57398,0.65574,0.047915,0.28276
0.92152,1.3542,1.0086,1.5882,1.2594,0.36765,3.8267,3.3209,0.5,0.1349,0.20203,0.33672,0.65574,0.030711,0.21556
1.2929,1.3614,1.4926,1.2784,1.5341,0.15408,10.507,3.3915,0.5,0.025566,0.26379,0.31672,0.6,0.0018753,0.23701
0.82548,1.2072,1.0273,1.5451,1.1348,0.16904,3.5568,2.8662,0.5,0.34092,0.22635,0.3612,0.94868,0.028679,0.1767
1.3711,1.5094,1.3679,1.3458,1.6449,0.06376,13.704,3.8574,0.5,0.23952,0.14983,0.35741,0.69282,0.0067274,0.28395
1.1106,1.2774,1.6173,0.80562,1.3718,0.05432,8.2178,2.9666,0.5,0.01288,0.21905,0.3619,0.57446,0.022053,0.21151
1.3199,1.5829,1.2961,2.8543,1.6386,0.27014,12.791,3.6469,0.5,0.06037,0.52877,0.54277,0.8124,0.033335,0.28018
1.1226,1.2993,1.3948,2.1424,1.3163,0.07912,6.1742,2.9063,0.5,0.12873,0.30843,0.42205,0.74833,0.022489,0.18383
1.1558,1.4399,1.1709,2.0963,1.5319,0.10018,10.164,3.6013,0.5,0.067367,0.15617,0.41151,0.64031,0.023925,0.25635
0.72916,1.4499,0.80361,1.3038,1.2163,0.081728,3.784,3.7238,0.5,0.37922,0.38035,0.41794,0.69282,0.0071346,0.2497
1.3546,1.4327,1.3894,1.378,1.7163,0.2912,16.84,3.602,0.5,0.21794,0.30829,0.30462,0.69282,0.015834,0.25727
1.2066,1.3175,1.4739,0.89165,1.369,0.22984,5.748,3.3437,0.375,0.41418,0.19025,0.34562,0.46904,0.051634,0.19444
1.0105,1.4658,1.0002,1.7916,1.3809,0.34386,6.9014,3.4813,0.5,0.081608,0.11455,0.26455,0.69282,0.02247,0.25391
1.0514,1.3494,1.2246,1.0262,1.4096,0.47378,6.6033,3.4725,0.5,0.1783,0.15992,0.33181,0.64031,0.0066838,0.20923
1.0988,1.3958,1.1899,1.3286,1.3556,0.15813,4.6618,3.4789,0.375,0.38638,0.2545,0.32486,0.70711,0.026673,0.16774
1.113,1.2541,1.3472,1.5285,1.3943,0.32262,10.42,3.3953,0.5,0.16513,0.087489,0.27783,0.67082,0.021059,0.17971
1.0195,1.5918,0.98617,2.0865,1.5409,0.25358,9.5556,3.6197,0.5,0.051852,0.24076,0.36271,0.75498,0.017431,0.30373
1.5429,1.5829,1.5899,0.67737,1.8577,0.36578,20.036,3.9444,0.5,0.11841,0.44254,0.43498,0.94868,0.061164,0.27416
0.94282,1.3918,1.1278,1.1575,1.386,0.33816,8.6154,3.2271,0.5,0.13679,0.45371,0.53894,0.92736,0.052836,0.18998
1.2204,1.2903,1.4404,1.8718,1.4875,0.71478,8.3573,3.0598,0.5,0.14288,0.16749,0.37111,0.75498,0.032919,0.19724
1.1486,1.165,1.4286,1.7616,1.2978,0.13438,7.4151,3.0593,0.5,0.43154,0.019297,0.29944,0.6,0.031733,0.16986
0.93133,1.4744,1.1427,1.0774,1.5038,0.46987,11.141,3.4792,0.5,0.061805,0.31183,0.36302,0.73485,0.04025,0.22968
1.4098,1.6391,1.5635,2.125,1.7646,0.30973,14.394,3.4326,0.5,0.10709,0.1316,0.46011,0.70711,0.057536,0.26826
0.88172,1.2114,1.1485,2.9654,1.1315,0.096832,4.9799,3.0384,0.5,0.022064,0.75879,0.74244,0.94868,0.038872,0.14567
1.3672,1.3377,1.7002,0.58767,1.587,0.34128,12.361,2.9649,0.5,0.18781,0.56997,0.59672,0.6,0.016006,0.18813
0.82073,1.4378,0.94645,0.80374,1.2279,0.076416,4.121,3.184,0.5,0.2412,0.68605,0.66703,0.73485,0.01857,0.21682
1.3372,1.558,1.4001,1.3152,1.7486,0.18744,15.38,3.5251,0.5,0.21873,0.45211,0.53924,0.88318,0.057245,0.25738
1.2127,1.3555,1.3973,1.877,1.4401,0.12224,7.553,3.1254,0.5,0.25911,0.13591,0.35638,0.53852,0.022567,0.20525
1.3171,1.7329,1.3041,0.54581,1.7398,0.31112,14.754,4.3997,0.5,0.28998,0.38309,0.34145,0.6,0.026759,0.29149
1.1099,1.5244,1.0634,2.2671,1.5268,0.26051,7.6166,3.7397,0.5,0.033767,0.31287,0.43915,0.75498,0.031745,0.29128
1.0886,1.3622,1.1745,1.6976,1.3761,0.15261,7.3721,3.5615,0.5,0.28096,0.21253,0.30134,0.53852,0.016626,0.217
0.9828,1.5039,1.0606,0.89811,1.4455,0.20968,8.9045,3.4635,0.5,0.08236,0.75268,0.75087,0.75498,0.054334,0.23792
1.0749,1.1988,1.3989,1.0527,1.3218,0.42107,6.2415,2.9537,0.5,0.022128,0.63041,0.71027,0.64031,0.029391,0.16302
1.0448,1.3295,1.1987,1.7078,1.35,0.21349,8.1171,3.3442,0.5,0.22353,0.13351,0.42443,0.83666,0.048885,0.20386
1.3387,1.2051,1.733,2.1792,1.4553,0.10851,8.1732,2.9463,0.5,0.37774,0.28942,0.38281,0.67082,0.033963,0.16173
