Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.90503,0.32926,4.0344,1.3105,0.90815,0.97013,5.9858,1.11,1,0.50845,1.1519,1.1208,0.42426,0.014184,0.011506
1.0034,0.26938,10.526,2.1145,1.0313,1.5547,6.8696,0.36456,0.75,0.23322,0.37052,0.44833,0.66332,0.010106,0.0095548
1.041,0.19029,8.0366,1.7994,1.0461,1.586,6.5784,0.4971,0.5,0.20783,0.35869,0.51054,0.56569,0.0063361,0.0036042
0.9873,0.21399,7.138,2.5925,0.99659,1.0893,6.2744,0.49932,1,0.32465,0.44912,0.54673,0.80623,0.0019721,0.0050526
0.87761,0.65691,2.2749,2.1291,1.0668,1.6128,6.7977,1.9486,0.25,0.22048,1.111,1.1564,0.53852,0.0034395,0.046368
1.0298,0.1513,9.9413,2.2101,1.0326,1.6222,6.5723,0.40029,1,0.4583,0.43886,0.52024,0.72801,0.0030365,0.0021343
0.99255,0.16815,9.0784,1.4574,0.99555,1.29,6.0303,0.46669,1,0.4334,0.05809,0.35609,0.5099,0.0032488,0.0024133
0.99756,0.22857,6.6846,2.0157,1.0052,1.174,5.8832,0.46083,1,0.55971,0.36521,0.47826,0.89443,0.0011371,0.0045662
1.0303,0.2029,7.6893,1.4763,1.0343,1.2206,6.4088,0.51037,1,0.33084,0.14882,0.29703,0.5831,0.007101,0.0041518
1.0294,0.16508,11.605,1.6947,1.0358,1.7001,6.7195,0.37648,0.875,0.10883,0.31585,0.48894,0.44721,0.0027479,0.0027029
0.95616,0.21474,7.2202,1.4985,0.9628,1.2296,5.5674,0.70955,0.375,0.16438,0.41803,0.55987,0.53852,0.0078493,0.0057603
1.0397,0.21227,9.1467,1.4692,1.0496,1.3122,6.8515,0.54447,0.875,0.12985,0.49341,0.54922,0.5,0.0084913,0.0047675
1.009,0.24131,6.6787,1.6031,1.0144,1.3239,5.7749,0.71723,0.375,0.11385,0.75008,0.7248,0.3,0.0089025,0.0059336
0.9764,0.17218,9.7444,1.5197,0.98267,1.3427,6.0016,0.37253,0.625,0.35596,0.1936,0.38337,0.63246,0.0036742,0.0031449
0.92334,0.25134,5.9295,1.4696,0.93433,0.75339,5.2247,0.69919,0.375,0.36121,0.37429,0.4511,0.36056,0.009038,0.007117
1.0504,0.26598,6.6495,1.6192,1.0573,1.3739,6.2129,0.73547,0.75,0.14289,0.51797,0.53521,0.4,0.0053087,0.0075192
0.89314,0.24476,6.2682,1.5656,0.9129,1.0252,5.0634,0.55045,0.375,0.24087,0.44991,0.51453,0.5,0.0036109,0.0064257
1.0133,0.33311,4.8193,1.5997,1.0241,1.0361,5.3196,0.87942,0.875,0.31786,0.49772,0.58065,0.5,0.011539,0.011222
0.99875,0.18769,9.6231,1.4456,1.0085,1.4867,6.4121,0.42609,0.5,0.31194,0.38204,0.48939,0.5099,0.0048563,0.0027405
1.0415,0.21704,8.0134,1.6342,1.0479,1.413,6.5986,0.50708,0.75,0.1409,0.46979,0.57629,0.60828,0.0054878,0.0041581
0.93552,0.16395,10.591,1.4298,0.94314,1.2295,5.6485,0.33223,0.25,0.34026,0.44477,0.51623,0.53852,0.0047035,0.0024226
0.91426,0.23309,6.7563,1.5783,0.92691,0.9736,5.1008,0.52759,0.75,0.26284,0.35806,0.49516,0.5099,0.0075338,0.0049321
