x,y,z,class
-0.008,-1.364,0.116,Running
-0.468,-1.464,-0.008,Running
-0.032,-1.148,-0.472,Running
-0.496,0.184,-0.384,Running
0.076,-1.26,0.18,Running
-0.676,-0.704,-0.312,Running
0.12,-1.328,-0.28,Running
-0.06,0.104,-0.244,Running
0.524,-1.276,0.096,Running
-0.26,-0.136,-0.212,Running
0.768,-1.808,-0.316,Running
0,-0.58,-0.052,Running
0.4,-2.048,0.548,Running
0.044,0.028,0.224,Running
0.464,-1.668,0.088,Running
-0.388,-0.048,-0.156,Running
0.48,-2.048,0.468,Running
-0.496,-1.848,-0.104,Running
0.124,0.156,-0.064,Running
-0.788,0.248,-0.172,Running
0.34,-1.112,-0.144,Running
-0.448,-1.576,-0.328,Running
0.204,-1.252,0.096,Running
-0.292,-0.52,0.216,Running
-0.608,-0.368,-0.444,Running
0.108,-1.692,0.492,Running
-0.096,0.312,-0.168,Running
0.58,-2.048,0.144,Running
-0.104,0.48,-0.152,Running
0.264,-1.7,-0.176,Running
-0.216,0.048,-0.032,Running
0.324,-2.048,0.26,Running
-0.428,0.604,-0.248,Running
0.584,-1.972,-0.664,Running
-0.012,0.936,-0.148,Running
-0.996,-1.384,-0.408,Running
-0.116,-0.36,0.256,Running
0.204,-1.828,-0.444,Running
-0.072,0.692,-0.164,Running
-0.624,-1.468,-0.036,Running
-0.56,0.264,0.124,Running
0.696,-2.036,-0.06,Running
0.064,0.376,-0.264,Running
-0.768,-1.544,0.308,Running
-0.516,-1.644,0.376,Running
0.504,-2.048,0.592,Running
0.04,-0.728,0.028,Running
-0.584,-0.776,0.348,Running
0.192,-1.152,0.124,Running
-0.584,-0.976,-0.436,Running
0.292,-1.576,0.132,Running
0.124,0.492,-0.344,Running
-0.72,-1.644,0.06,Running
-0.112,0.072,-0.108,Running
-0.22,-2.024,0.04,Running
-0.148,0.16,-0.068,Running
0.048,-1.58,0.216,Running
-0.152,0.316,-0.096,Running
0.14,-1.684,-0.08,Running
-0.6,-0.044,-0.176,Running
-0.096,-1.272,0.272,Running
0.156,-2.048,0.616,Running
0.064,-0.5,-0.112,Running
-0.404,-2.048,1.088,Running
-0.192,-0.68,0.152,Running
0.88,-1.452,-0.436,Running
0.12,0.104,-0.136,Running
-0.12,-2.048,1.024,Running
-0.32,-0.5,-0.004,Running
0.168,-1.516,-0.152,Running
-0.104,0.416,-0.336,Running
0.172,-2.048,-0.092,Running
-0.084,0.36,-0.028,Running
0.132,-1.488,-0.056,Running
-0.308,0.488,-0.056,Running
0.76,-2.048,0.012,Running
-0.212,0.292,-0.028,Running
0.556,-1.784,0.304,Running
-0.3,0.288,-0.312,Running
0.632,-1.608,-0.256,Running
-0.264,0.02,0.024,Running
-0.348,-2.004,-0.032,Running
-0.176,0.628,-0.112,Running
-0.024,-2.048,0.148,Running
-0.2,0.46,-0.36,Running
0.048,-2.048,0.228,Running
-0.092,-0.644,-0.372,Running
-0.06,-0.664,0.008,Running
-0.528,-0.72,1.476,Running
-0.496,-0.94,0.192,Running
0.46,-0.984,-1.26,Running
-0.088,0.292,-0.32,Running
0.548,-2.048,0.008,Running
-0.356,0.5,-0.228,Running
0.048,-1.304,-0.22,Running
-0.336,-0.408,-0.348,Running
0.096,-1.048,-0.18,Running
-0.756,-1.624,0.024,Running
-0.372,-1.284,0.172,Running
0.288,-2.048,0.476,Running
-0.16,0.024,-0.42,Running
-1.328,-2.048,1.108,Running
-0.452,0.044,-0.072,Running
0.16,-1.436,0.892,Running
-0.236,0.496,-0.108,Running
0.128,-1.772,-0.424,Running
-0.592,-0.38,0.252,Running
-0.168,-2.048,1.012,Running
-0.144,0.596,-0.184,Running
-0.412,-1.976,0.012,Running
-0.528,0.5,-0.192,Running
-0.216,-1.704,0.448,Running
0.076,-2.048,1.116,Running
0.156,0.456,-0.456,Running
-0.612,-2.048,0.28,Running
-0.288,0.496,0.34,Running
-0.14,-1.764,0.352,Running
0.756,-2.048,1.42,Running
-0.28,0.86,-0.168,Running
0.616,-2.012,0.008,Running
-0.48,-0.32,-0.196,Running
-0.776,-1.008,0.236,Running
0.636,-1.464,-0.048,Running
0.3,0.42,-0.248,Running
0.16,-0.74,0.24,Running
-0.676,-2.048,1.04,Running
-0.148,-0.024,-0.12,Running
0.336,-1.152,-0.204,Running
-0.356,0.248,-0.388,Running
0,-1.552,-0.204,Running
-1.208,0.144,-0.264,Running
0.228,-1.28,-0.272,Running
-0.12,0.476,0,Running
-0.484,-1.996,0.18,Running
-0.26,-0.256,-0.268,Running
0.06,-1.584,0.172,Running
-0.136,0.28,0.048,Running
0.42,-2.048,0.272,Running
-0.104,0.208,-0.32,Running
-0.196,-1.496,0.236,Running
-1.904,-1.636,0.104,Running
0.072,-0.12,0.092,Running
-0.632,-2.048,1.32,Running
-0.38,-0.324,-0.088,Running
0.676,-2.016,-0.22,Running
-0.348,0.232,0.056,Running
0.652,-2.048,-0.036,Running
-0.076,0.196,-0.336,Running
-0.288,-1.252,-0.112,Running
-0.628,-1.776,-0.508,Running
-0.08,-0.432,0.356,Running
-1.06,-2.048,0.82,Running
-0.604,-0.392,-0.048,Running
0.56,-1.276,-1.536,Running
-0.212,0.636,-0.164,Running
0.492,-2.048,0.164,Running
-0.112,0.148,-0.344,Running
-0.1,-1.676,0.66,Running
0.936,-2.048,1.616,Running
0.356,0.448,-0.328,Running
-0.684,-1.464,-0.496,Running
-0.376,0.468,0.284,Running
0.248,-1.028,-0.484,Running
-0.388,0.26,-0.324,Running
0.688,-2.048,0.06,Running
-0.14,0.384,-0.196,Running
0.624,-2.044,0.276,Running
-0.108,-0.976,-0.032,Running
-0.152,0.036,-0.3,Running
-0.036,-1.38,0.388,Running
-0.756,-0.592,-0.104,Running
0.048,-0.196,-0.02,Running
0.012,-2.048,1.14,Running
-0.468,0.284,-0.12,Running
0.624,-1.7,0.492,Running
-0.012,0.328,-0.236,Running
-0.18,-1.392,-0.164,Running
-0.436,-0.412,0.68,Running
-0.448,-1.044,0.22,Running
-0.344,-1.5,0.172,Running
0.128,0.708,-0.54,Running
-0.256,-2.048,-0.084,Running
-0.368,0.432,-0.092,Running
-0.064,-1.38,0.516,Running
-2.048,-2.048,0.48,Running
0.192,-0.316,0.036,Running
-0.752,-1.84,-0.064,Running
-0.332,0.236,-0.012,Running
0.212,-1.112,-0.056,Running
-0.132,0.184,-0.4,Running
0.084,-1.856,0.008,Running
0.032,0.068,-0.156,Running
0.512,-1.456,0.32,Running
-2.016,-2.048,0.132,Running
0.004,-1.136,0.092,Running
-1.064,-1.88,0.38,Running
-0.504,-0.764,0.144,Running
0.292,-0.936,-0.892,Running
0.196,0.296,-0.16,Running
0.02,-1.696,0.096,Running
-0.376,-0.348,0.516,Running
-1,-1.32,0.036,Running
-0.208,0.008,-0.176,Running
-0.604,-2.048,1.064,Running
-0.44,0.248,0.26,Running
0.392,-1.72,0.392,Running
-0.236,0.132,-0.344,Running
-0.156,-1.42,-0.36,Running
-1.792,-2.048,0.1,Running
-0.532,-0.324,0.004,Running
0.352,-1.716,-0.348,Running
-0.016,0.028,0.22,Running
0.464,-2.048,0.116,Running
-0.068,0.072,-0.22,Running
-0.08,-1.176,0.244,Running
-0.008,-1.56,0.084,Running
0.124,0.732,-0.444,Running
-0.176,-1.992,-0.156,Running
-0.128,0.556,0.208,Running
0.26,-1.992,0.46,Running
-0.312,0.248,-0.32,Running
0.072,-1.928,-0.26,Running
-0.632,0.132,-0.148,Running
-0.216,-1.252,0.156,Running
0.132,-1.388,-0.048,Running
0.36,0.908,-0.452,Running
-0.812,-1.208,-0.212,Running
0.232,0.124,0.024,Running
0.716,-1.824,0.024,Running
-0.08,-0.072,0.116,Running
0.148,-2.048,0.26,Running
-0.528,-0.14,-0.092,Running
-0.276,-1.456,-0.2,Running
-0.232,0.664,-0.1,Running
0.644,-2.048,0.108,Running
-0.068,-0.04,-0.312,Running
-0.656,-1.264,0.308,Running
0.808,-2.048,1.512,Running
0.164,0,-0.192,Running
-0.852,-1.404,-0.028,Running
-0.256,0.476,0.136,Running
0.404,-1.476,-0.188,Running
-0.4,-0.036,-0.36,Running
-0.264,-0.824,0.052,Running
-0.94,-2.048,0.56,Running
-0.232,0.316,-0.208,Running
0.22,-1.612,0.712,Running
-0.056,0.212,-0.232,Running
-0.12,-1.556,-0.236,Running
-1.384,-2.048,0.42,Running
-0.5,-0.132,-0.04,Running
-0.048,-1.488,0.536,Running
-0.288,0.064,0.116,Running
0.312,-1.996,-0.024,Running
0.068,0.08,-0.124,Running
0.324,-1.54,0.6,Running
-0.196,-1.352,-0.168,Running
0.432,0.948,-0.484,Running
0.92,-1.54,-0.348,Running
-0.876,0.212,0.364,Running
-0.904,-1.784,0.096,Running
-0.292,0.412,0.208,Running
0.076,-2.048,0.3,Running
0.156,0.352,-0.344,Running
-0.188,-1.312,0.416,Running
0.74,-2.048,1.156,Running
0.08,0.624,-0.488,Running
-0.344,-1.924,0.092,Running
-0.508,0.444,0.4,Running
-0.064,-0.924,-0.332,Running
-0.992,-0.08,0.224,Running
0.156,-0.42,0.06,Running
0.044,-2.048,0.036,Running
-0.408,-0.004,-0.288,Running
0.008,-1.536,-0.036,Running
0.116,0.06,-0.408,Running
-0.276,-0.748,0.188,Running
-1.192,-1.22,0.076,Running
-0.5,0.424,0.396,Running
0.612,-1.584,0.192,Running
