x,y,z,class
0.228,-1.044,-0.088,Standing
0.24,-1.044,-0.092,Standing
0.236,-1.044,-0.088,Standing
0.236,-1.04,-0.1,Standing
0.232,-1.036,-0.092,Standing
0.244,-1.048,-0.08,Standing
0.232,-1.04,-0.092,Standing
0.24,-1.04,-0.088,Standing
0.232,-1.048,-0.072,Standing
0.232,-1.04,-0.084,Standing
0.24,-1.052,-0.088,Standing
0.236,-1.044,-0.084,Standing
0.244,-1.052,-0.08,Standing
0.252,-1.048,-0.044,Standing
0.452,-0.844,0.148,Standing
0.232,-1.168,0.124,Standing
-0.16,-0.968,-0.084,Standing
-0.116,-1.048,0.064,Standing
-0.12,-1.008,0.084,Standing
0.028,-1.272,0.1,Standing
-0.052,-1.036,0.068,Standing
-0.048,-1.056,0.084,Standing
-0.048,-1.06,0.084,Standing
-0.088,-1.052,0.092,Standing
-0.068,-1.06,0.104,Standing
-0.108,-1.048,0.088,Standing
-0.1,-1.048,0.084,Standing
-0.112,-1.044,0.104,Standing
-0.1,-1.048,0.096,Standing
-0.116,-1.04,0.084,Standing
-0.1,-1.06,0.092,Standing
-0.116,-1.036,0.084,Standing
-0.116,-1.032,0.076,Standing
-0.112,-1.04,0.084,Standing
-0.108,-1.04,0.072,Standing
-0.108,-1.044,0.092,Standing
-0.104,-1.048,0.092,Standing
-0.104,-1.044,0.08,Standing
-0.1,-1.052,0.076,Standing
-0.108,-1.052,0.068,Standing
-0.096,-1.048,0.068,Standing
-0.104,-1.052,0.076,Standing
-0.12,-1.04,0.076,Standing
-0.104,-1.04,0.088,Standing
-0.108,-1.052,0.08,Standing
-0.12,-1.044,0.068,Standing
-0.104,-1.048,0.076,Standing
-0.108,-1.048,0.052,Standing
-0.116,-1.04,0.06,Standing
-0.112,-1.052,0.06,Standing
-0.108,-1.056,0.068,Standing
-0.116,-1.052,0.064,Standing
-0.124,-1.04,0.072,Standing
-0.116,-1.044,0.076,Standing
-0.12,-1.048,0.06,Standing
-0.116,-1.044,0.056,Standing
-0.124,-1.048,0.064,Standing
-0.124,-1.04,0.068,Standing
-0.12,-1.04,0.072,Standing
-0.112,-1.044,0.056,Standing
-0.124,-1.044,0.06,Standing
-0.124,-1.044,0.056,Standing
-0.112,-1.04,0.068,Standing
-0.1,-1.048,0.064,Standing
-0.112,-1.044,0.056,Standing
-0.108,-1.048,0.056,Standing
-0.112,-1.036,0.048,Standing
-0.112,-1.048,0.032,Standing
-0.108,-1.052,0.048,Standing
-0.1,-1.04,0.04,Standing
-0.104,-1.048,0.032,Standing
-0.1,-1.044,0.028,Standing
-0.096,-1.06,0.008,Standing
-0.092,-1.052,0.02,Standing
-0.112,-1.048,0.024,Standing
-0.124,-1.052,0.024,Standing
-0.124,-1.036,0.056,Standing
-0.116,-1.044,0.052,Standing
-0.116,-1.048,0.04,Standing
-0.128,-1.044,0.044,Standing
-0.112,-1.048,0.056,Standing
-0.12,-1.04,0.04,Standing
-0.128,-1.048,0.028,Standing
-0.124,-1.044,0.032,Standing
-0.136,-1.048,0.04,Standing
-0.14,-1.04,0.044,Standing
-0.112,-1.056,0.036,Standing
-0.128,-1.044,0.044,Standing
-0.14,-1.04,0.048,Standing
-0.116,-1.044,0.04,Standing
-0.12,-1.048,0.04,Standing
-0.12,-1.048,0.04,Standing
-0.14,-1.032,0.032,Standing
-0.124,-1.052,0.032,Standing
-0.136,-1.044,0.04,Standing
-0.128,-1.048,0.052,Standing
-0.124,-1.048,0.056,Standing
-0.14,-1.048,0.052,Standing
-0.152,-1.036,0.048,Standing
-0.144,-1.04,0.048,Standing
-0.128,-1.08,0.048,Standing
-0.156,-1.036,0.02,Standing
-0.104,-1.048,0.02,Standing
-0.076,-1.032,0.02,Standing
-0.096,-1.024,0.02,Standing
-0.104,-1.036,0.04,Standing
-0.132,-1.056,0.048,Standing
-0.132,-1.04,0.028,Standing
-0.128,-1.048,0.048,Standing
-0.112,-1.048,0.044,Standing
